text,sentiment
"@united sorry, wrong link for the bag : http://t.co/pZAl4wtrEZ Thats the one i meant",neutral
"@united 
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience",negative
"@SouthwestAir Why do airlines change ticket prices in the middle of the day
#annoyed",negative
@united thank you. Been trying for two days to set this up.,positive
"@AmericanAir The delay is nothing but the personnel being so combative up to the point of saying ""what's the hury,  the plane is not leaving",negative
@united just because you are a monopoly in @flySFO doesn't mean you treat your frequent fliers like crap.,negative
@SouthwestAir can you please make sense of the companion promo? How to we set it up?,neutral
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,negative
@JetBlue 2324 from Orlando to Dca ! And my awesome flight attendant is Robert!,positive
@SouthwestAir You officially have the worst customer service of any airline I've ever dealt with. #southwestairlines #poor,negative
@AmericanAir 3078 is overweight so you pull 2 dozen passengers off? Why not luggage? Seriously?,negative
@united they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location,negative
@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?,negative
@JetBlue we've been delayed and delayed here in Palm beach... Need to head to Westchester. Can you give me some info?,negative
@USAirways @USAirways I used my AAdvantage Number connected to the USAirways when I booked tickets for friends. Will it benefit my account?,neutral
@united please give special thanks to Aaron in Tampa office for helping me for literally two hours! He's amazing. Mission accomplished!,positive
"@united so you told me to go, knowing what the issue was, only for me to go there and find out that you won�۪t fix it?",negative
"@AmericanAir to add insult to injury, I have to go pick it up myself. Real class act! I'll stick the Delta from now on.",negative
@USAirways Thank you. And thanks for being so accommodating.,positive
@united #OrthoDoc on-call to in-flight! Glad to have been of service!,positive
@USAirways  how does one downgrade a flight?,neutral
"@AmericanAir oh I did. All I received back was an email saying "" delays happen"".. Uh huh..",negative
@united are the miles going to be restructured? Help a silver status brotha out! I thought I was winning with you guys until today lol,negative
@united Finally I get the right response. United must check this issue. UA 1514 EWR to PUJ on Friday 02/20/15.,negative
@AmericanAir My boyfriend was supposed to be home Saturday but his flight from DC was Cancelled Flightled yet again. Please get him home!,negative
"@USAirways found the tix#, security code not working. Tried a dozen times.",negative
@AmericanAir Thank you so much.,positive
@JetBlue not one of my four flights this trip has been on time. What the he'll is your companies problem?,negative
@USAirways or is anyone even responding to social media? AWFUL.,negative
@AmericanAir you guys are killing me. http://t.co/22iPGeIcSm,negative
"@AmericanAir Way to suck at customer service, Dallas is trapped in an ice storm but you didn't Cancelled Flight 7am flight &amp; been on hold all day.",negative
@united any help is appreciated. That's a LOOONG wait for help on something that's not his fault,negative
